Studio,Date,Live Classes,Virtual Classes,Total Classes
Ballet Arts,12/16/2024,14,0,14
Ballet Academy East,12/16/2024,14,7,21
Broadway Dance Center,12/16/2024,51,2,53
Ailey Studios,12/16/2024,12,6,18
Brickhouse,12/16/2024,4,0,4
Cumbe Dance Center,12/16/2024,2,0,2
Gibney,12/16/2024,9,0,9
Mark Morris Dance,12/16/2024,9,1,10
PMT House of Dance,12/16/2024,6,0,6
ILoveDance,12/16/2024,8,1,9
Peridance,12/16/2024,24,0,24
Hive NJ,12/16/2024,2,0,2
Taylor School,12/16/2024,1,0,1
Sass Class,12/16/2024,6,0,6
Steps on Broadway,12/16/2024,38,37,75
Femmily,12/16/2024,7,0,7
